fund_id,transaction_date,firm_id,transaction_type,transaction_amount,cumulative_contribution,cumulative_distribution,net_cashflow
10223,2023-12-31,651,Value,1242297.2,-11609441.4,16358988.21,4749546.81
10224,2023-12-31,581,Value,1205992.66,-12203344,9277684.66,-2925659.34
10228,2023-12-31,1886,Value,130468.17,-10073630.41,2844080.62,-7229549.79
10293,2023-12-31,12340,Value,127570,-13153358,10308161.97,-2845196.03
10308,2023-12-31,47256,Value,580700,-9903036.8,12326644.83,2423608.03
10311,2023-12-31,506,Value,1523473,-9650000,17491503.63,7841503.63
10312,2023-12-31,368,Value,673111.33,-10000000,7071457.3,-2928542.7
10319,2023-12-31,275,Value,4805849.3,-9577340.1,8248640.85,-1328699.25
10339,2023-12-31,17871,Value,5118117.33,-9753564,18110492.64,8356928.64
10350,2023-12-31,245,Value,2547196.6,-9820769,11420016.61,1599247.61
10357,2023-12-31,93,Value,2185758.33,-10000000,24535360,14535360
10358,2023-12-31,8072,Value,7530953.85,-10000000,46898589.7,36898589.7
10482,2023-12-31,12961,Value,4228624.64,-9969544.92,10808852.39,839307.47
10483,2023-12-31,12961,Value,2530800.4,-9912569.6,3179515.78,-6733053.82
10485,2023-12-31,12961,Value,384239.21,-11285471.6,8099893.2,-3185578.4
10544,2023-12-31,18,Value,2943242.5,-9307000,18746814.15,9439814.15
10545,2023-12-31,18,Value,3517410.83,-9133000,14428435.87,5295435.87
10655,2023-12-31,910,Value,1507340.1,-10563000,18326805,7763805
10663,2023-12-31,5772,Value,83400,-10303146.49,9283236.16,-1019910.33
10678,2023-12-31,439,Value,417541.24,-9247417.17,16035077.5,6787660.33
10727,2023-12-31,178,Value,23785.92,-8884367.24,24439036.02,15554668.78
10743,2023-12-31,23,Value,741357.34,-10265691,14651973.67,4386282.67
10747,2023-12-31,305,Value,0,-10491213,18182423.02,7691210.02
10777,2023-12-31,733,Value,489512.72,-9738873.89,13494903.56,3756029.67
10795,2023-12-31,568,Value,3668390.66,-14182429.33,28537579.94,14355150.61
10809,2023-12-31,70,Value,171877.55,-10906082,21777332.92,10871250.92
10814,2023-12-31,13191,Value,0,-10159438.15,8630768.52,-1528669.63
10842,2023-12-31,812,Value,1204973.11,-9845430.11,17520161.25,7674731.14
10854,2023-12-31,449,Value,909302.33,-8910909.43,23392734.8,14481825.37
10878,2023-12-31,291,Value,788650,-10000000,16922563.3,6922563.3
10880,2023-12-31,2007,Value,0,-10000000,18012000,8012000
10881,2023-12-31,424,Value,36399.99,-11524000,15883599.96,4359599.96
10911,2023-12-31,1886,Value,29450.57,-10000000,14829137.4,4829137.4
10944,2023-12-31,7567,Value,30242,-9778092,15325718.02,5547626.02
10948,2023-12-31,52,Value,3011005.34,-10153168,46637985.99,36484817.99
10949,2023-12-31,8787,Value,410684.5,-9355000,25784251,16429251
10950,2023-12-31,8787,Value,5769732.8,-9208000,22531976,13323976
10972,2023-12-31,479,Value,51790.93,-11546063.8,24927230.46,13381166.66
10983,2023-12-31,18601,Value,6461198.44,-10479327,9711098.75,-768228.25
11008,2023-12-31,46046,Value,0,-10174757.23,21207864,11033106.77
11018,2023-12-31,8547,Value,0,-9316427.52,9832084.52,515657
11336,2023-12-31,12,Value,0,-9730251.26,8045226.09,-1685025.17
11359,2023-12-31,802,Value,699225.2,-10000000,16146444.1,6146444.1
11435,2023-12-31,458,Value,1014157.9,-11126723.3,15782669.96,4655946.66
11503,2023-12-31,111,Value,2954540.61,-10845663.37,16589856.18,5744192.81
11510,2023-12-31,211,Value,1239552.43,-11968070.12,16839364.53,4871294.41
11581,2023-12-31,1314,Value,747730,-9355000,14270109.98,4915109.98
11583,2023-12-31,1314,Value,2151115,-9340000,18772055.04,9432055.04
11631,2023-12-31,140,Value,9912,-24780000,38966550,14186550
11776,2023-12-31,14497,Value,657479,-9850000,48457822.02,38607822.02
11852,2023-12-31,13859,Value,1341470,-9821720,14763862.77,4942142.77
11855,2023-12-31,13859,Value,9011986.39,-12481295.8,22516504.38,10035208.58
11859,2023-12-31,289,Value,6726.28,-11523297.85,6225348.5,-5297949.35
11895,2023-12-31,7,Value,688611.87,-9924901.2,16541592.85,6616691.65
11914,2023-12-31,14610,Value,1093401,-11109550.5,12864367.99,1754817.49
11919,2023-12-31,920,Value,8403472.82,-14015970.78,15234156.69,1218185.91
11965,2023-12-31,888,Value,2744180,-11054390.4,13035110.43,1980720.03
12134,2023-12-31,2147,Value,1966400,-11060400,16504800.05,5444400.05
12152,2023-12-31,573,Value,2945736.44,-9263565.89,17286821.73,8023255.84
12153,2023-12-31,573,Value,2175544.09,-9434355.01,17677163.81,8242808.8
12158,2023-12-31,18,Value,2283997,-9740000,21441357.05,11701357.05
12212,2023-12-31,812,Value,1473756.59,-9203529.68,21732752.69,12529223.01
12213,2023-12-31,812,Value,127688.17,-4647177.42,6307123.63,1659946.21
12228,2023-12-31,18,Value,5150000,-9600000,18499999.97,8899999.97
12251,2023-12-31,573,Value,624000,-9556000,13409999.97,3853999.97
12258,2023-12-31,18,Value,168748.2,-9171364.6,14841398.8,5670034.2
12261,2023-12-31,15098,Value,762983.98,-10000000,29289514.3,19289514.3
12288,2023-12-31,814,Value,1189218.54,-11183399.73,20608921.34,9425521.61
12323,2023-12-31,1430,Value,943448.28,-9900000,14163448.27,4263448.27
12386,2023-12-31,15275,Value,23657.8,-9418011.4,21082911.21,11664899.81
12415,2023-12-31,2102,Value,600331.5,-8544746.19,12855292.94,4310546.75
12730,2023-12-31,6388,Value,0,-9400000,14635800,5235800
12736,2023-12-31,741,Value,0,-9441139.73,13768800.89,4327661.16
12744,2023-12-31,6138,Value,88.67,-9724604.33,20656743.12,10932138.79
12789,2023-12-31,334,Value,183128.5,-10790169.75,22543069.74,11752899.99
12808,2023-12-31,8596,Value,0,-9178432.13,12583406.04,3404973.91
12862,2023-12-31,350,Value,1575288.5,-10849501.75,18192581.02,7343079.27
12909,2023-12-31,23,Value,802301.96,-10046124.08,20127500.31,10081376.23
12910,2023-12-31,337,Value,6344789.2,-10000000,24520440.8,14520440.8
12973,2023-12-31,9110,Value,1017922.28,-10293138.74,25171364.88,14878226.14
13003,2023-12-31,54,Value,606721.1,-9769942.75,12525238.56,2755295.81
13011,2023-12-31,11,Value,58695,-8903042.78,18473445,9570402.22
13041,2023-12-31,11277,Value,9357667.3,-10459000,22113463.7,11654463.7
13168,2023-12-31,24663,Value,9122998,-9900000,32350078.04,22450078.04
13200,2023-12-31,939,Value,398999.29,-10220818.64,25936180.53,15715361.89
13206,2023-12-31,2078,Value,5880403.33,-10000000,20523402.7,10523402.7
13259,2023-12-31,17725,Value,0,-10007000,14930444,4923444
13319,2023-12-31,1590,Value,733942,-12031821,18369578.98,6337757.98
13413,2023-12-31,715,Value,1263623,-10867369.33,21797007.71,10929638.38
13446,2023-12-31,11327,Value,110445.1,-9954196.1,15523958.82,5569762.72
13447,2023-12-31,11327,Value,218220.25,-10450719.51,15791295.52,5340576.01
13494,2023-12-31,355,Value,9252,-9584228.6,13713083.42,4128854.82
13551,2023-12-31,463,Value,0,-9587000,13051741.8,3464741.8
13554,2023-12-31,162,Value,68026.32,-10000000,13365767,3365767
13585,2023-12-31,7,Value,2575587.47,-9949996,16179951.18,6229955.18
13601,2023-12-31,1759,Value,463589.41,-11428632,23281699.05,11853067.05
13704,2023-12-31,6307,Value,0,-10880000,17454999.97,6574999.97
13711,2023-12-31,9522,Value,501590.62,-9940370.21,17353598.71,7413228.5
13715,2023-12-31,54,Value,38425,-9337041.6,23919211.23,14582169.63
13718,2023-12-31,506,Value,1598000,-9700000,26469666.71,16769666.71
13796,2023-12-31,534,Value,203605.2,-12823792.4,12561271.42,-262520.98
13975,2023-12-31,6691,Value,3752289,-9963534,25528662.96,15565128.96
